handle,id,detail_url,image_url
caliber-isp,6677838954687,https://locprecision.com/collections/rocket-kits/products/caliber-isp,//locprecision.com/cdn/shop/products/59_520a5138-c9dc-43f2-bfb6-566484b82404_540x.jpg?v=1621260730
4-cyclotron,6804761575615,https://locprecision.com/collections/rocket-kits/products/4-cyclotron,//locprecision.com/cdn/shop/products/Cyclotron4-7001_540x.jpg?v=1626141061
ypat25,6677843214527,https://locprecision.com/collections/rocket-kits/products/ypat25,//locprecision.com/cdn/shop/products/locprecision_4_540x.jpg?v=1627158150
bull-puppy-2-1-rocket-kit,7007570723007,https://locprecision.com/collections/rocket-kits/products/bull-puppy-2-1-rocket-kit,//locprecision.com/cdn/shop/products/BullPuppy-V-700_540x.jpg?v=1661957476
7-5-t-loc,6804694696127,https://locprecision.com/collections/rocket-kits/products/7-5-t-loc,//locprecision.com/cdn/shop/products/75TLOC-Web_540x.jpg?v=1626704114
pfy-bbx,6677841838271,https://locprecision.com/collections/rocket-kits/products/pfy-bbx,//locprecision.com/cdn/shop/products/63_63033860-8bc4-4360-aa3f-e049d79df541_540x.jpg?v=1621666340
eze,6677841805503,https://locprecision.com/collections/rocket-kits/products/eze,//locprecision.com/cdn/shop/products/66_353a2f86-63c6-4a8b-87f9-88d8fb7c126b_540x.jpg?v=1621666660
blaster,6677846458559,https://locprecision.com/collections/rocket-kits/products/blaster,//locprecision.com/cdn/shop/products/90_540x.jpg?v=1620831891
pfy-hawk,6677841772735,https://locprecision.com/collections/rocket-kits/products/pfy-hawk,//locprecision.com/cdn/shop/products/68_4310cc63-8328-4365-8680-607fa950fe25_540x.jpg?v=1621666684
ybuzz4,6677843673279,https://locprecision.com/collections/rocket-kits/products/ybuzz4,//locprecision.com/cdn/shop/products/26_ccc50aae-ebec-4fca-8550-fe567ebb9d77_540x.jpg?v=1623242152
pfy-shawk,6677841674431,https://locprecision.com/collections/rocket-kits/products/pfy-shawk,//locprecision.com/cdn/shop/products/77_d6961e98-1bd0-4fb2-aa3e-d981a76f9059_540x.jpg?v=1621672409
norad,6677838889151,https://locprecision.com/collections/rocket-kits/products/norad,//locprecision.com/cdn/shop/products/NoradCut_540x.jpg?v=1640292561
doorknob,6677839249599,https://locprecision.com/collections/rocket-kits/products/doorknob,//locprecision.com/cdn/shop/products/98_8afce03a-4d55-4059-b08c-8236e455e22e_540x.jpg?v=1623152786
tiny-pterodactyl,7007562760383,https://locprecision.com/collections/rocket-kits/products/tiny-pterodactyl,//locprecision.com/cdn/shop/products/TinyPteroHenry3_540x.jpg?v=1633695663
magnum-3,6677844918463,https://locprecision.com/collections/rocket-kits/products/magnum-3,//locprecision.com/cdn/shop/products/94_f2207e88-d7de-4379-a474-ca4f43cdda45_540x.jpg?v=1623235914
ypat75,6677841871039,https://locprecision.com/collections/rocket-kits/products/ypat75,//locprecision.com/cdn/shop/products/49_49efba00-e28b-4373-896d-19c75600b758_540x.jpg?v=1623486629
sandhawk,6677838790847,https://locprecision.com/collections/rocket-kits/products/sandhawk,//locprecision.com/cdn/shop/products/YSHawk3-Cut_540x.jpg?v=1627158875
i-roc,6677839413439,https://locprecision.com/collections/rocket-kits/products/i-roc,//locprecision.com/cdn/shop/products/IROC-Cut_540x.jpg?v=1627160672
scout,6677843574975,https://locprecision.com/collections/rocket-kits/products/scout,//locprecision.com/cdn/shop/products/80_6b55a75d-e695-4a7e-a5de-144a076af17b_540x.jpg?v=1623330113
pfy-iqsy,6677841739967,https://locprecision.com/collections/rocket-kits/products/pfy-iqsy,//locprecision.com/cdn/shop/products/71_ce06a60e-e817-4a25-af23-868af18dc88d_540x.jpg?v=1621671995
55iris,6677847244991,https://locprecision.com/collections/rocket-kits/products/55iris,//locprecision.com/cdn/shop/products/77_540x.jpg?v=1627160993
loc-v2,6677839806655,https://locprecision.com/collections/rocket-kits/products/loc-v2,//locprecision.com/cdn/shop/products/12_8d005df1-b63d-4aae-b995-13e2bcf9978d_540x.jpg?v=1623390974
bruiser-exp,6677839315135,https://locprecision.com/collections/rocket-kits/products/bruiser-exp,//locprecision.com/cdn/shop/products/50_583d7ebc-2300-4c21-9093-5d468f04d280_540x.jpg?v=1621256873
lil-diter,6677838856383,https://locprecision.com/collections/rocket-kits/products/lil-diter,//locprecision.com/cdn/shop/products/lilditerweb_540x.jpg?v=1640289351
park-flyer-magnum,6677842493631,https://locprecision.com/collections/rocket-kits/products/park-flyer-magnum,//locprecision.com/cdn/shop/products/52_b2d51839-4b90-42f3-a760-327768c26df9_540x.jpg?v=1621664953
v2,6677839216831,https://locprecision.com/collections/rocket-kits/products/v2,//locprecision.com/cdn/shop/products/15_e5afb83c-6113-4e0b-8948-4fba948d9492_540x.jpg?v=1623392856
expediter,6677839151295,https://locprecision.com/collections/rocket-kits/products/expediter,//locprecision.com/cdn/shop/products/3_aaa25491-cc7c-4501-b4fe-e18a9802f761_540x.jpg?v=1623153146
starfighter,6677841969343,https://locprecision.com/collections/rocket-kits/products/starfighter,//locprecision.com/cdn/shop/products/59_f1cc1e27-0cc4-425e-a42f-02060a76af1c_540x.jpg?v=1621665648
legacy,6677837906111,https://locprecision.com/collections/rocket-kits/products/legacy,//locprecision.com/cdn/shop/products/95_63247409-5eb4-4c81-a097-0ea146ccf032_540x.jpg?v=1621675429
amraam-3-missile,7007570231487,https://locprecision.com/collections/rocket-kits/products/amraam-3-missile,//locprecision.com/cdn/shop/products/AMRAAM3Henry_JustinTN_540x.jpg?v=1633695901
hyperloc-1600,6677839839423,https://locprecision.com/collections/rocket-kits/products/hyperloc-1600,//locprecision.com/cdn/shop/products/38_604f32f4-513f-4da9-9ae7-7c9ee26f6077_540x.jpg?v=1623162991
rfs-class-1-rocket-kit,6677842854079,https://locprecision.com/collections/rocket-kits/products/rfs-class-1-rocket-kit,//locprecision.com/cdn/shopifycloud/shopify/assets/no-image-50-3d8cc48bd078edcd544c8d60f929ed2d8800a3fc52e0f602e84b1767e392bfcd_540x.gif
ariel-rocket,7007574655167,https://locprecision.com/collections/rocket-kits/products/ariel-rocket,//locprecision.com/cdn/shop/products/ArielMichelle300tjpg_540x.jpg?v=1633696023
spitfire-rocket,7007574458559,https://locprecision.com/collections/rocket-kits/products/spitfire-rocket,//locprecision.com/cdn/shop/products/spitfire_540x.jpg?v=1638942652
rfs-class-2-rocket-kit,6677842591935,https://locprecision.com/collections/rocket-kits/products/rfs-class-2-rocket-kit,//locprecision.com/cdn/shopifycloud/shopify/assets/no-image-50-3d8cc48bd078edcd544c8d60f929ed2d8800a3fc52e0f602e84b1767e392bfcd_540x.gif
cyclotron,6677842624703,https://locprecision.com/collections/rocket-kits/products/cyclotron,//locprecision.com/cdn/shop/products/Screenshot2023-04-12at9.08.09AM_540x.png?v=1681308880
4-29ss,6677838823615,https://locprecision.com/collections/rocket-kits/products/4-29ss,//locprecision.com/cdn/shop/products/55_540x.jpg?v=1620824495
miranda-rocket,7007574720703,https://locprecision.com/collections/rocket-kits/products/miranda-rocket,//locprecision.com/cdn/shop/products/mirandarocket_540x.jpg?v=1638942692
quicksilver,7007562367167,https://locprecision.com/collections/rocket-kits/products/quicksilver,//locprecision.com/cdn/shop/products/QuicksilverModel_0010tn_540x.jpg?v=1633695654
