commonName,delays,diameter,infoUrl,totImpulseNs,manufacturer,burnTimeS,propInfo,length,avgThrustN,dataFiles,impulseClass,sparky,caseInfo,propWeightG,certOrg,motorId,availability,maxThrustN,totalWeightG,designation,updatedOn,type,mfgID
C3,P,18.0,https://nar.org/SandT/pdf/Aerotech/AT_C3.4_2015.pdf,8.96,AeroTech,2.86,Blue Thunder,72.0,3.14,2,C,False,RMS-18/20,5.2,National Association of Rocketry,5f4294d2000231000000040c,regular,9.08,23.9,C3.4T,2022-07-20,reload,AeroTech
C10,"4,7,10",18.0,http://nar.org/SandT/pdf/Apogee/C10.pdf,9.56,Apogee Components,0.96,,50.0,9.96,2,C,False,,4.9,National Association of Rocketry,5f4294d20002310000000019,OOP,25.72,,C10,2019-04-17,SU,Apogee
C12,"4,6,8",18.0,,9.8,Quest Aerospace,0.84,Black Max,78.5,11.7,2,C,False,,10.4,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000045e,regular,17.5,23.7,C12,2020-11-25,SU,Quest
C2,"0,P",18.0,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-C2-0-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0320&t=23&c=712&p=712,9.8,Raketenmodellbau Klima,5.0,black powder,70.0,2.0,2,C,False,,11.3,Uncertified,5f7696fb9503a10004898857,regular,5.0,22.4,C2,2020-10-17,SU,Klima
C18,"4,6,8",18.0,,9.83,Quest Aerospace,0.52,Fast White Lightning,81.0,19.1,2,C,False,,5.6,"Tripoli Rocketry Association, Inc.",5f7d2f71606b5d00041d9aba,regular,23.6,20.9,C18W,2020-10-07,SU,Quest
C6,"4,7,10",13.0,http://nar.org/SandT/pdf/Apogee/C6.pdf,9.98,Apogee Components,1.32,,83.0,7.56,2,C,False,,7.0,National Association of Rocketry,5f4294d20002310000000018,OOP,21.1,,C6,2019-04-17,SU,Apogee
C6,"0,3,5,7,P",18.0,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-C6-0-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0360&t=23&c=712&p=712,10.0,Raketenmodellbau Klima,1.6,black powder,70.0,6.0,2,C,False,,9.6,Uncertified,5f76974c9503a10004898858,regular,15.0,20.5,C6,2020-10-17,SU,Klima
D16,"4,6,8",18.0,,12.4,Quest Aerospace,0.79,Black Max,78.5,15.7,2,D,False,,12.5,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000045f,regular,22.3,25.7,D16,2020-11-25,SU,Quest
D20,"4,6,8",18.0,,13.83,Quest Aerospace,0.76,Fast White Lightning,81.0,18.25,2,D,False,,8.7,"Tripoli Rocketry Association, Inc.",5f7d30aa606b5d00041d9abc,regular,24.34,24.1,D20W,2020-10-07,SU,Quest
D12,"0,3,5,7",24.0,http://nar.org/SandT/pdf/Estes/D12.pdf,16.84,Estes Industries,1.65,black powder,70.0,10.21,2,D,False,,21.1,National Association of Rocketry,5f4294d20002310000000020,regular,29.73,44.0,D12,2022-07-27,SU,Estes
D2,P,18.0,http://www.nar.org/SandT/pdf/Aerotech/D2.3.pdf,17.21,AeroTech,8.14,Blue Thunder,72.0,2.12,2,D,False,RMS-18/20,10.7,National Association of Rocketry,5f4294d2000231000000040d,regular,10.14,29.3,D2.3T,2022-03-20,reload,AeroTech
D3,"0,P",18.0,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-D3-0-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0430&t=23&c=712&p=712,17.4,Raketenmodellbau Klima,5.5,black powder,70.0,3.0,2,D,False,,17.0,Uncertified,5f8b0753d5fa3b000447e835,regular,9.01,27.9,D3,2020-10-27,SU,Klima
D11,,24.0,http://nar.org/SandT/pdf/Estes/D11.pdf,17.49,Estes Industries,1.86,black powder,70.0,9.4,2,D,False,,24.5,National Association of Rocketry,5f4294d2000231000000001f,OOP,26.01,44.8,D11,2021-07-04,SU,Estes
D5,"4,6",20.0,,17.61,Quest Aerospace,4.61,black powder,96.0,3.82,3,D,False,,24.0,National Association of Rocketry,5f4294d20002310000000376,regular,16.8,44.1,D5,2019-04-17,SU,Quest
D24,"4,5,6,7,8,10",18.0,http://nar.org/SandT/pdf/Aerotech/D24.pdf,18.02,AeroTech,1.22,Blue Thunder,70.0,14.77,3,D,False,RMS-18/20,8.7,National Association of Rocketry,5f4294d20002310000000024,regular,25.52,32.0,D24T,2022-03-20,reload,AeroTech
D3,"3,5,7",18.0,http://nar.org/SandT/pdf/Apogee/D3.pdf,18.36,Apogee Components,6.39,,77.0,2.87,2,D,False,,9.8,National Association of Rocketry,5f4294d2000231000000001b,OOP,10.64,,D3,2019-04-17,SU,Apogee
D7,P,24.0,http://nar.org/SandT/pdf/Aerotech/D7TRC.pdf,18.53,AeroTech,2.87,Blue Thunder,70.0,6.46,2,D,False,RMS-R/C-24/20-40,10.5,National Association of Rocketry,5f4294d2000231000000001c,regular,10.99,42.2,D7-RCT,2019-04-17,reload,AeroTech
D8,"0,3,5",24.0,,18.59,Quest Aerospace,2.2,black powder,70.0,8.44,1,D,False,,22.0,National Association of Rocketry,5f4294d20002310000000375,OOP,28.88,45.6,D8,2019-04-17,SU,Quest
D10,"3,5,7",18.0,http://nar.org/SandT/pdf/Apogee/D10.pdf,18.75,Apogee Components,1.4,,70.0,13.39,2,D,False,,9.8,National Association of Rocketry,5f4294d2000231000000001e,OOP,25.13,,D10,2019-04-17,SU,Apogee
D10,"3,5,7",18.0,https://nar.org/SandT/pdf/Aerotech/D10.pdf,18.75,AeroTech,1.4,White Lightning,70.0,13.39,2,D,False,,9.8,National Association of Rocketry,5f4294d200023100000002e3,regular,25.13,25.9,D10W,2022-07-20,SU,AeroTech
D9,"4,5,7",24.0,http://nar.org/SandT/pdf/Aerotech/D9.pdf,18.76,AeroTech,1.88,White Lightning,70.0,9.98,3,D,False,RMS-24/40,10.1,National Association of Rocketry,5f4294d2000231000000001d,regular,20.0,47.4,D9W,2019-04-17,reload,AeroTech
D15,"4,5,7",24.0,http://nar.org/SandT/pdf/Aerotech/D15.pdf,18.96,AeroTech,1.15,Blue Thunder,70.0,16.49,2,D,False,RMS-24/40,8.9,National Association of Rocketry,5f4294d20002310000000022,regular,31.36,46.9,D15T,2019-04-17,reload,AeroTech
D13,"4,5,6,7,8,10",18.0,http://nar.org/SandT/pdf/Aerotech/D13.pdf,19.26,AeroTech,1.52,White Lightning,70.0,12.67,2,D,False,RMS-18/20,9.8,National Association of Rocketry,5f4294d20002310000000021,regular,23.61,31.9,D13W,2022-03-20,reload,AeroTech
D22,"4,6,7,8,10",24.0,,19.33,AeroTech,0.89,,86.7,21.66,2,D,False,White Lightning,12.0,"Tripoli Rocketry Association, Inc.",60159ce4b94d0e00040a8402,regular,27.58,37.5,D22W,2021-01-30,SU,AeroTech
D21,"4,7",18.0,http://nar.org/SandT/pdf/Aerotech/D21.pdf,19.59,AeroTech,0.94,Blue Thunder,70.0,20.84,2,D,False,,9.6,National Association of Rocketry,5f4294d20002310000000023,regular,32.12,25.0,D21T,2019-04-17,SU,AeroTech
D5,,20.0,http://www.nar.org/SandT/pdf/Quest/D5_cn.pdf,19.61,Quest Aerospace,3.98,black powder,88.0,4.93,2,D,False,,25.0,National Association of Rocketry,5f4294d20002310000000210,regular,11.49,38.0,D5-P,2019-04-17,SU,Quest
D9,"0,3,5,7,P",18.0,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-D9-0-inkl-Elektrozuender-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0400&t=23&c=712&p=712,20.0,Raketenmodellbau Klima,2.1,black powder,70.0,9.0,2,D,False,,16.1,Uncertified,5f7697979503a10004898859,regular,25.0,27.1,D9,2020-12-06,SU,Klima
E22,"4,6,8,10,13",24.0,,24.2,Cesaroni Technology,1.03,Smoky Sam,69.0,23.4,2,E,False,Pro24-1G,13.4,Canadian Association of Rocketry,5f4294d200023100000003d0,regular,34.4,56.5,24E22-13A,2019-04-17,reload,Cesaroni
E75,"8,10,12,14,17",24.0,,24.8,Cesaroni Technology,0.33,Vmax,69.0,74.3,2,E,False,Pro24-1G,104.0,Canadian Association of Rocketry,5f4294d200023100000003b8,regular,99.9,52.0,25E75-17A,2019-04-17,reload,Cesaroni
E31,"6,8,10,12,15",24.0,,26.1,Cesaroni Technology,0.85,White Thunder,69.0,30.8,2,E,False,Pro24-1G,11.1,Canadian Association of Rocketry,5f4294d200023100000003cf,regular,52.6,52.0,26E31-15A,2019-04-17,reload,Cesaroni
E12,"0,4,6,8",24.0,http://www.nar.org/SandT/pdf/Estes/E12.pdf,27.24,Estes Industries,2.44,black powder,95.0,11.17,2,E,False,,35.9,National Association of Rocketry,5f4294d200023100000003e3,regular,33.29,58.7,E12,2019-10-05,SU,Estes
E26,"4,6,7,8,10",24.0,,27.85,AeroTech,1.18,White Lightning,87.7,23.5,2,E,False,,18.3,"Tripoli Rocketry Association, Inc.",60159d7db94d0e00040a8404,regular,27.89,44.0,E26W,2021-01-30,SU,AeroTech
E9,"4,6,8",24.0,http://www.nar.org/SandT/pdf/Estes/E9.pdf,27.87,Estes Industries,3.09,black powder,95.0,9.02,2,E,False,,35.8,National Association of Rocketry,5f4294d20002310000000028,OOP,19.47,58.0,E9,2021-07-31,SU,Estes
E7,,24.0,http://nar.org/SandT/pdf/Aerotech/E7TRC.pdf,29.35,AeroTech,5.43,Blue Thunder,70.0,5.41,2,E,False,RMS-R/C-24/20-40,17.1,National Association of Rocketry,5f4294d20002310000000027,regular,11.58,48.4,E7-RCT,2019-04-17,reload,AeroTech
E11,3,24.0,https://nar.org/SandT/pdf/Aerotech/E11.pdf,32.74,AeroTech,2.83,Blackjack,70.0,11.57,2,E,False,RMS-24/40,25.0,National Association of Rocketry,5f4294d200023100000001f9,regular,19.85,62.4,E11J,2022-07-20,reload,AeroTech
E16,"0,4,6,8",29.0,http://www.nar.org/SandT/pdf/Estes/E16.pdf,33.38,Estes Industries,2.09,black powder,114.0,15.97,2,E,False,,40.0,National Association of Rocketry,5f4294d200023100000003f8,regular,26.44,84.0,E16,2019-04-17,SU,Estes
E30,"4,7",24.0,http://nar.org/SandT/pdf/Aerotech/E30.pdf,33.56,AeroTech,1.02,Blue Thunder,70.0,32.38,3,E,False,,17.8,National Association of Rocketry,5f4294d20002310000000034,regular,49.3,47.0,E30T,2019-04-17,SU,AeroTech
E30,"4,7",24.0,http://www.nar.org/SandT/pdf/Estes/E30.pdf,33.56,Estes Industries,1.02,black powder,70.0,32.95,2,E,False,,17.8,National Association of Rocketry,5f4294d200023100000003e4,OOP,49.3,47.0,E30,2020-12-02,SU,Estes
E12,,24.0,http://nar.org/SandT/pdf/Aerotech/E12JRC.pdf,34.22,AeroTech,3.05,Blackjack,70.0,11.22,2,E,False,RMS-R/C-24/20-40,30.3,National Association of Rocketry,5f4294d2000231000000002c,regular,18.33,59.4,E12-RCJ,2019-04-17,reload,AeroTech
E20,"4,7",24.0,https://nar.org/SandT/pdf/Aerotech/E20.pdf,35.0,AeroTech,1.6,White Lightning,70.0,21.8,1,E,False,,16.2,National Association of Rocketry,5f4294d2000231000000030e,regular,34.9,49.0,E20W,2022-07-20,SU,AeroTech
E15,"4,6,7,8,10",24.0,https://www.nar.org/SandT/pdf/Aerotech/E15.pdf,35.0,AeroTech,1.6,White Lightning,65.0,21.8,4,E,False,,16.2,National Association of Rocketry,5f4294d2000231000000002d,OOP,34.9,49.0,E15W,2021-09-08,SU,AeroTech
E23,"4,5,6,8",29.0,http://nar.org/SandT/pdf/Aerotech/E23.pdf,35.32,AeroTech,1.57,Blue Thunder,124.0,22.5,2,E,False,RMS-29/40-120,17.4,National Association of Rocketry,5f4294d20002310000000032,regular,38.22,104.0,E23T,2019-04-17,reload,AeroTech
E12,"6,10",24.0,,35.8,Ellis Mountain,2.98333333333333,,102.0,12.0,1,E,False,SU 24x102,28.3,"Tripoli Rocketry Association, Inc.",5f4294d2000231000000002b,OOP,,,E12,2019-04-17,SU,Ellis
E24,"4,7,10",29.0,,36.32,AeroTech,1.64,Classic,110.0,22.35,1,E,False,,18.4,"Tripoli Rocketry Association, Inc.",63628c12a244550004a0cf01,regular,33.0,70.7,E24C,2022-11-02,SU,AeroTech
E18,"4,5,7",24.0,http://nar.org/SandT/pdf/Aerotech/E18.pdf,36.54,AeroTech,2.14,White Lightning,70.0,17.07,2,E,False,RMS-24/40,20.7,National Association of Rocketry,5f4294d20002310000000031,regular,30.08,59.0,E18W,2019-04-17,reload,AeroTech
E6,,24.0,http://www.nar.org/SandT/pdf/Aerotech/E6TRC.pdf,37.5,AeroTech,7.12,Blue Thunder,70.0,5.27,1,E,False,RMS-R/C-24/20-40,21.5,National Association of Rocketry,5f4294d20002310000000026,regular,11.9,50.0,E6-RCT,2019-04-17,reload,AeroTech
E16,"4,5,7",29.0,http://nar.org/SandT/pdf/Aerotech/E16.pdf,37.67,AeroTech,2.0,White Lightning,124.0,18.84,1,E,False,RMS-29/40-120,19.0,National Association of Rocketry,5f4294d20002310000000030,regular,37.2,109.0,E16W,2019-04-17,reload,AeroTech
