caseInfo,length,totalWeightG,totImpulseNs,availability,type,designation,propWeightG,infoUrl,delays,updatedOn,maxThrustN,manufacturerAbbrev,certOrg,manufacturer,motorId,burnTimeS,propInfo,commonName,avgThrustN,impulseClass,diameter,sparky,dataFiles
,70,27.900000000000002,17.4,regular,SU,D3,17,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-D3-0-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0430&t=23&c=712&p=712,"0,P",2020-10-27,9.01,Klima,Uncertified,Raketenmodellbau Klima,5f8b0753d5fa3b000447e835,5.5,black powder,D3,3,D,18,False,2
,70,44.8,17.49,OOP,SU,D11,24.5,http://nar.org/SandT/pdf/Estes/D11.pdf,,2021-07-04,26.01,Estes,National Association of Rocketry,Estes Industries,5f4294d2000231000000001f,1.86,black powder,D11,9.4,D,24,False,2
,96,44.1,17.61,regular,SU,D5,24,,"4,6",2019-04-17,16.8,Quest,National Association of Rocketry,Quest Aerospace,5f4294d20002310000000376,4.61,black powder,D5,3.82,D,20,False,3
RMS-18/20,70,32,18.02,regular,reload,D24T,8.7,http://nar.org/SandT/pdf/Aerotech/D24.pdf,"4,5,6,7,8,10",2022-03-20,25.52,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000024,1.22,Blue Thunder,D24,14.77,D,18,False,3
,77,,18.36,OOP,SU,D3,9.8,http://nar.org/SandT/pdf/Apogee/D3.pdf,"3,5,7",2019-04-17,10.64,Apogee,National Association of Rocketry,Apogee Components,5f4294d2000231000000001b,6.39,,D3,2.87,D,18,False,2
RMS-R/C-24/20-40,70,42.2,18.53,regular,reload,D7-RCT,10.5,http://nar.org/SandT/pdf/Aerotech/D7TRC.pdf,P,2019-04-17,10.99,AeroTech,National Association of Rocketry,AeroTech,5f4294d2000231000000001c,2.87,Blue Thunder,D7,6.46,D,24,False,2
,70,45.6,18.59,OOP,SU,D8,22,,"0,3,5",2019-04-17,28.88,Quest,National Association of Rocketry,Quest Aerospace,5f4294d20002310000000375,2.2,black powder,D8,8.44,D,24,False,1
,70,,18.75,OOP,SU,D10,9.8,http://nar.org/SandT/pdf/Apogee/D10.pdf,"3,5,7",2019-04-17,25.13,Apogee,National Association of Rocketry,Apogee Components,5f4294d2000231000000001e,1.4,,D10,13.39,D,18,False,2
,70,25.9,18.75,regular,SU,D10W,9.799999999999999,https://nar.org/SandT/pdf/Aerotech/D10.pdf,"3,5,7",2022-07-20,25.13,AeroTech,National Association of Rocketry,AeroTech,5f4294d200023100000002e3,1.4,White Lightning,D10,13.39,D,18,False,2
RMS-24/40,70,47.4,18.76,regular,reload,D9W,10.1,http://nar.org/SandT/pdf/Aerotech/D9.pdf,"4,5,7",2019-04-17,20,AeroTech,National Association of Rocketry,AeroTech,5f4294d2000231000000001d,1.88,White Lightning,D9,9.98,D,24,False,3
RMS-24/40,70,46.9,18.96,regular,reload,D15T,8.9,http://nar.org/SandT/pdf/Aerotech/D15.pdf,"4,5,7",2019-04-17,31.36,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000022,1.15,Blue Thunder,D15,16.49,D,24,False,2
RMS-18/20,70,31.9,19.26,regular,reload,D13W,9.799999999999999,http://nar.org/SandT/pdf/Aerotech/D13.pdf,"4,5,6,7,8,10",2022-03-20,23.61,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000021,1.52,White Lightning,D13,12.67,D,18,False,2
White Lightning,86.7,37.5,19.33,regular,SU,D22W,12,,"4,6,7,8,10",2021-01-30,27.58,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,60159ce4b94d0e00040a8402,0.89,,D22,21.66,D,24,False,2
,70,25,19.59,regular,SU,D21T,9.6,http://nar.org/SandT/pdf/Aerotech/D21.pdf,"4,7",2019-04-17,32.12,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000023,0.94,Blue Thunder,D21,20.84,D,18,False,2
,88,38,19.61,regular,SU,D5-P,25,http://www.nar.org/SandT/pdf/Quest/D5_cn.pdf,,2019-04-17,11.49,Quest,National Association of Rocketry,Quest Aerospace,5f4294d20002310000000210,3.98,black powder,D5,4.93,D,20,False,2
,70,27.099999999999998,20,regular,SU,D9,16.1,https://www.raketenmodellbau-klima.de/Raketenmodellbau/Motoren-Treibsaetze/Motor-D9-0-inkl-Elektrozuender-6-Stueck-.htm?shop=raketenklima&SessionId=&a=article&ProdNr=0400&t=23&c=712&p=712,"0,3,5,7,P",2020-12-06,25,Klima,Uncertified,Raketenmodellbau Klima,5f7697979503a10004898859,2.1,black powder,D9,9,D,18,False,2
Pro24-1G,69,56.5,24.2,regular,reload,24E22-13A,13.4,,"4,6,8,10,13",2019-04-17,34.4,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000003d0,1.03,Smoky Sam,E22,23.4,E,24,False,2
Pro24-1G,69,52,24.8,regular,reload,25E75-17A,104,,"8,10,12,14,17",2019-04-17,99.9,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000003b8,0.33,Vmax,E75,74.3,E,24,False,2
Pro24-1G,69,52,26.1,regular,reload,26E31-15A,11.1,,"6,8,10,12,15",2019-04-17,52.6,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000003cf,0.85,White Thunder,E31,30.8,E,24,False,2
,95,58.7,27.24,regular,SU,E12,35.9,http://www.nar.org/SandT/pdf/Estes/E12.pdf,"0,4,6,8",2019-10-05,33.29,Estes,National Association of Rocketry,Estes Industries,5f4294d200023100000003e3,2.44,black powder,E12,11.17,E,24,False,2
,87.7,44,27.85,regular,SU,E26W,18.3,,"4,6,7,8,10",2021-01-30,27.89,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,60159d7db94d0e00040a8404,1.18,White Lightning,E26,23.5,E,24,False,2
,95,58,27.87,OOP,SU,E9,35.8,http://www.nar.org/SandT/pdf/Estes/E9.pdf,"4,6,8",2021-07-31,19.47,Estes,National Association of Rocketry,Estes Industries,5f4294d20002310000000028,3.09,black powder,E9,9.02,E,24,False,2
RMS-R/C-24/20-40,70,48.4,29.35,regular,reload,E7-RCT,17.1,http://nar.org/SandT/pdf/Aerotech/E7TRC.pdf,,2019-04-17,11.58,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000027,5.43,Blue Thunder,E7,5.41,E,24,False,2
RMS-24/40,70,62.4,32.74,regular,reload,E11J,25,https://nar.org/SandT/pdf/Aerotech/E11.pdf,3,2022-07-20,19.85,AeroTech,National Association of Rocketry,AeroTech,5f4294d200023100000001f9,2.83,Blackjack,E11,11.57,E,24,False,2
,114,84,33.38,regular,SU,E16,40,http://www.nar.org/SandT/pdf/Estes/E16.pdf,"0,4,6,8",2019-04-17,26.44,Estes,National Association of Rocketry,Estes Industries,5f4294d200023100000003f8,2.09,black powder,E16,15.97,E,29,False,2
,70,47,33.56,regular,SU,E30T,17.8,http://nar.org/SandT/pdf/Aerotech/E30.pdf,"4,7",2019-04-17,49.3,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000034,1.02,Blue Thunder,E30,32.38,E,24,False,3
,70,47,33.56,OOP,SU,E30,17.8,http://www.nar.org/SandT/pdf/Estes/E30.pdf,"4,7",2020-12-02,49.3,Estes,National Association of Rocketry,Estes Industries,5f4294d200023100000003e4,1.02,black powder,E30,32.95,E,24,False,2
RMS-R/C-24/20-40,70,59.4,34.22,regular,reload,E12-RCJ,30.3,http://nar.org/SandT/pdf/Aerotech/E12JRC.pdf,,2019-04-17,18.33,AeroTech,National Association of Rocketry,AeroTech,5f4294d2000231000000002c,3.05,Blackjack,E12,11.22,E,24,False,2
,70,49,35,regular,SU,E20W,16.2,https://nar.org/SandT/pdf/Aerotech/E20.pdf,"4,7",2022-07-20,34.9,AeroTech,National Association of Rocketry,AeroTech,5f4294d2000231000000030e,1.6,White Lightning,E20,21.8,E,24,False,1
,65,49,35,OOP,SU,E15W,16.2,https://www.nar.org/SandT/pdf/Aerotech/E15.pdf,"4,6,7,8,10",2021-09-08,34.9,AeroTech,National Association of Rocketry,AeroTech,5f4294d2000231000000002d,1.6,White Lightning,E15,21.8,E,24,False,4
RMS-29/40-120,124,104,35.32,regular,reload,E23T,17.4,http://nar.org/SandT/pdf/Aerotech/E23.pdf,"4,5,6,8",2019-04-17,38.22,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000032,1.57,Blue Thunder,E23,22.5,E,29,False,2
SU 24x102,102,,35.8,OOP,SU,E12,28.3,,"6,10",2019-04-17,,Ellis,"Tripoli Rocketry Association, Inc.",Ellis Mountain,5f4294d2000231000000002b,2.98333333333333,,E12,12,E,24,False,1
,110,70.7,36.32,regular,SU,E24C,18.4,,"4,7,10",2022-11-02,33,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,63628c12a244550004a0cf01,1.64,Classic,E24,22.35,E,29,False,1
RMS-24/40,70,59,36.54,regular,reload,E18W,20.7,http://nar.org/SandT/pdf/Aerotech/E18.pdf,"4,5,7",2019-04-17,30.08,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000031,2.14,White Lightning,E18,17.07,E,24,False,2
RMS-R/C-24/20-40,70,50,37.5,regular,reload,E6-RCT,21.5,http://www.nar.org/SandT/pdf/Aerotech/E6TRC.pdf,,2019-04-17,11.9,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000026,7.12,Blue Thunder,E6,5.27,E,24,False,1
RMS-29/40-120,124,109,37.67,regular,reload,E16W,19,http://nar.org/SandT/pdf/Aerotech/E16.pdf,"4,5,7",2019-04-17,37.2,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000030,2,White Lightning,E16,18.84,E,29,False,1
,77,46,37.8,regular,SU,E6,22,http://www.nar.org/SandT/pdf/Apogee/E6.pdf,"4,6,8",2020-09-01,16.56,Apogee,National Association of Rocketry,Apogee Components,5f4294d2000231000000020f,5.84,,E6,6.47,E,24,False,2
SU 29x76,76,78,39,OOP,SU,E25,20.6,,"4,7,P",2019-04-17,40,Roadrunner,"Tripoli Rocketry Association, Inc.",Roadrunner Rocketry,5f4294d20002310000000241,1.5,Rapid propellant,E25,25,E,29,False,2
,113,55,39.38,regular,SU,E35W,25.4,,"5,8,11",2022-06-07,43.96,Quest,"Tripoli Rocketry Association, Inc.",Quest Aerospace,629ee7b1e0d0450004036826,1.08,White Lightning,E35,33.81,E,24,False,2
RMS-24/40,70,55.3,39.69,regular,reload,E28T,18.4,http://nar.org/SandT/pdf/Aerotech/E28.pdf,"4,5,7",2019-04-17,50.52,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000033,1.22,Blue Thunder,E28,32.53,E,24,False,2
SU 24x70,70,50.1,39.76,OOP,SU,E15,17.8,http://nar.org/SandT/pdf/RocketVision/E15.pdf,"4,7",2019-04-17,28.84,RV,National Association of Rocketry,Rocketvision Flight-Star,5f4294d2000231000000002e,2.64,,E15,15.06,E,24,False,1
RMS 24/20-40 R/C,70,,40,OOP,SU,E6,21.5,https://nar.org/SandT/pdf/Aerotech/E6.pdf,"4,6,8,P",2022-07-20,,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000025,6.67,Blue Thunder,E6,6,E,24,False,1
Pro29-1G,98,104,41.2,regular,reload,41F36-11A,69,,"2,4,6,8,11",2019-04-17,72.7,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d200023100000002b8,1.07,Smoky Sam,F36,38.5,F,29,False,2
,83,83,41.2,regular,SU,F23FJ,30,https://www.nar.org/SandT/pdf/AeroTech/F23FJ.pdf,"4,7",2023-11-08,29.8,AeroTech,National Association of Rocketry,AeroTech,654b01231b5ae70002c2beae,2.21,Black Max,F23,18.58,F,29,False,1
,70,48,41.5,regular,SU,F44W,19.7,https://nar.org/SandT/pdf/Aerotech/F44W.pdf,"4,6,8",2022-07-20,50,AeroTech,National Association of Rocketry,AeroTech,5f4294d200023100000003ff,1,White Lightning,F44,44,F,24,False,2
RMS-24/40,70,68.6,43.2,regular,reload,F12J,30.3,http://nar.org/SandT/pdf/Aerotech/F12.pdf,"3,5",2019-04-17,23.54,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000036,2.93,Blackjack,F12,14.74,F,24,False,2
,95,70.6,47,regular,SU,F30FJ,31.2,https://nar.org/SandT/pdf/Aerotech/F30FJ.pdf,"4,6,8",2022-07-20,40.6,AeroTech,National Association of Rocketry,AeroTech,5f4294d200023100000003b0,1.55,Black Max,F30,30.4,F,24,False,2
RMS-24/40,70,62.9,47.31,regular,reload,F24W,19,http://nar.org/SandT/pdf/Aerotech/F24.pdf,"4,7",2022-10-12,40.95,AeroTech,National Association of Rocketry,AeroTech,5f4294d2000231000000003f,2.13,White Lightning,F24,22.21,F,24,False,2
RMS-24/60,95,88.1,47.57,regular,reload,F62FJ,32.2,http://www.nar.org/SandT/pdf/Aerotech/AT_F62FJ_2017.pdf,"4,6,8,10",2019-04-17,73.1,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000460,0.84,Black Max,F62,56.91,F,24,False,2
,113,56.9,47.65,regular,SU,F41W,27.099999999999998,,"5,8,11",2023-09-23,54.16,Quest,"Tripoli Rocketry Association, Inc.",Quest Aerospace,629ee8bae0d045000403682e,1.12,White Lightning,F41,42.19,F,24,False,2
RMS-24/60,95,82.2,49.5,regular,reload,F63R,27.6,http://www.nar.org/SandT/pdf/Aerotech/AT_F63R_2017.pdf,"4,6,8,10",2019-04-17,69.94,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000461,0.85,Redline,F63,58.06,F,24,False,2
,83,80,49.6,regular,SU,F27R/L,28.400000000000002,https://nar.org/SandT/pdf/Aerotech/F27.pdf,"4,6,8",2022-08-09,37.7,AeroTech,National Association of Rocketry,AeroTech,5f4294d200023100000001d4,2.03,Redline,F27,24.4,F,29,False,2
,114,102,49.61,regular,SU,F15,60,http://www.nar.org/SandT/pdf/Estes/F15.pdf,"0,4,6,8",2019-04-17,25.26,Estes,National Association of Rocketry,Estes Industries,5f4294d200023100000003f2,3.45,black powder,F15,14.38,F,29,False,3
RMS-24/40,70,60.6,49.66,regular,reload,F39T,22.7,http://nar.org/SandT/pdf/Aerotech/F39.pdf,"4,5,6,7,9",2019-04-17,59.47,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000046,1.33,Blue Thunder,F39,37.34,F,24,False,2
Pro24-2G,101,73,49.9,regular,reload,50F51-13A,22,,"4,6,8,10,13",2019-04-17,69.4,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d2000231000000040f,1,Blue Streak,F51,49.6,F,24,False,2
RMS-29/60,99,109.3,50.67,regular,reload,F37W,28.2,http://nar.org/SandT/pdf/Aerotech/F37.pdf,"4,6,8,10",2019-04-17,46.47,AeroTech,National Association of Rocketry,AeroTech,5f4294d20002310000000045,1.6,White Lightning,F37,31.67,F,29,False,2
RMS-29/60,89,109,51,regular,reload,F62T,30.5,,"4,6,8,10",2021-06-13,56.5,AeroTech,"Tripoli Rocketry Association, Inc.",AeroTech,5f4294d2000231000000004d,1.13,Blue Thunder,F62,62,F,29,False,2
Pro29-1G,98,101,51.5,regular,reload,51F36-14A,25.6,,"5,7,9,11,14",2019-04-17,46.3,Cesaroni,Canadian Association of Rocketry,Cesaroni Technology,5f4294d2000231000000028d,1.42,Blue Streak,F36,36.4,F,29,False,2
