motorId,time,thrust
5f4294d20002310000000002,0.07,1.951716
5f4294d20002310000000002,0.074,2.06541
5f4294d20002310000000002,0.076,2.09889
5f4294d20002310000000002,0.078,2.09889
5f4294d20002310000000002,0.08,2.02811
5f4294d20002310000000002,0.082,1.911814
5f4294d20002310000000002,0.084,1.619262
5f4294d20002310000000002,0.086,1.151861
5f4294d20002310000000002,0.088,0.728272
5f4294d20002310000000002,0.09,0.433614
5f4294d20002310000000002,0.092,0.292953
5f4294d20002310000000002,0.098,0.217459
5f4294d20002310000000002,0.154,0.224377
5f4294d20002310000000002,0.172,0.150186
5f4294d20002310000000002,0.196,0.0998567
5f4294d20002310000000002,0.23,0.078602
5f4294d20002310000000002,0.414,0.0625608
5f4294d20002310000000002,0.7559,0.082111
5f4294d20002310000000002,0.8219,0.0607562
5f4294d20002310000000002,0.833,0.0208536
5f4294d20002310000000002,0.834,0.0
5f4294d200023100000001d4,0.0125,15.5374
5f4294d200023100000001d4,0.0175,18.81827
5f4294d200023100000001d4,0.025,22.5311
5f4294d200023100000001d4,0.0325,25.2547
5f4294d200023100000001d4,0.04,27.3204
5f4294d200023100000001d4,0.0575,30.3657
5f4294d200023100000001d4,0.0725,31.4597
5f4294d200023100000001d4,0.0975,32.2507
5f4294d200023100000001d4,0.265,35.0238
5f4294d200023100000001d4,0.295,35.9203
5f4294d200023100000001d4,0.4675,35.9684
5f4294d200023100000001d4,0.59,35.065
5f4294d200023100000001d4,0.8,32.0145
5f4294d200023100000001d4,0.825,31.2773
5f4294d200023100000001d4,0.8575,31.1102
5f4294d200023100000001d4,0.9025,29.9308
5f4294d200023100000001d4,0.955,29.7244
5f4294d200023100000001d4,1.045,27.2951
5f4294d200023100000001d4,1.085,27.2663
5f4294d200023100000001d4,1.1175,25.9881
5f4294d200023100000001d4,1.1475,26.0014
5f4294d200023100000001d4,1.235,23.2853
5f4294d200023100000001d4,1.28,22.9001
5f4294d200023100000001d4,1.3425,21.0771
5f4294d200023100000001d4,1.52,17.256
5f4294d200023100000001d4,1.8075,6.85478
5f4294d200023100000001d4,1.9175,4.16387
5f4294d200023100000001d4,2.05,1.783863
5f4294d200023100000001d4,2.1775,0.488016
5f4294d200023100000001d4,2.4225,0.44385
5f4294d200023100000001d4,2.425,0.0
5f4294d2000231000000040c,0.023,3.188
5f4294d2000231000000040c,0.028,5.669
5f4294d2000231000000040c,0.093,9.08
5f4294d2000231000000040c,0.235,8.208
5f4294d2000231000000040c,0.427,6.881
5f4294d2000231000000040c,0.513,6.188
5f4294d2000231000000040c,0.6,5.438
5f4294d2000231000000040c,0.666,4.803
